0.552391,0,0,0,0,0,0,0,
0.55366,0,0,0,0,0,0,0,
0.555042,0,0,0,0,0,0,0,
0.556423,0,0,0,0,0,0,0,
0.557831,0,0,0,0,0,0,0,
0.559279,0,0,0,0,0,0,0,
0.560683,0,0,0,0,0,0,0,
0.56206,0,0,0,0,0,0,0,
0.563515,0,0,0,0,0,0,0,
0.564944,0,0,0,0,0,0,0,
0.566308,0,0,0,0,0,0,0,
0.56777,0,0,0,0,0,0,0,
0.569188,0,0,0,0,0,0,0,
0.570504,0,0,0,0,0,0,0,
0.571874,0,0,0,0,0,0,0,
0.573217,0,0,0,0,0,0,0,
0.574563,0,0,0,0,0,0,0,
0.576009,0,0,0,0,0,0,0,
0.577463,0,0,0,0,0,0,0,
0.579091,0,0,0,0,0,0,0,
0.580561,0,0,0,0,0,0,0,
0.581944,0,0,0,0,0,0,0,
0.583374,0,0,0,0,0,0,0,
0.584729,0,0,0,0,0,0,0,
0.586082,0,0,0,0,0,0,0,
0.587466,0,0,0,0,0,0,0,
0.588836,0,0,0,0,0,0,0,
0.59019,0,0,0,0,0,0,0,
0.591602,0,0,0,0,0,0,0,
0.592965,0,0,0,0,0,0,0,
0.594331,0,0,0,0,0,0,0,
0.595745,0,0,0,0,0,0,0,
0.597158,0,0,0,0,0,0,0,
0.598535,0,0,0,0,0,0,0,
0.599925,0,0,0,0,0,0,0,
0.601318,0,0,0,0,0,0,0,
0.602742,0,0,0,0,0,0,0,
0.604191,0,0,0,0,0,0,0,
0.605554,0,0,0,0,0,0,0,
0.60699,0,0,0,0,0,0,0,
0.608546,0,0,0,0,0,0,0,
0.609925,0,0,0,0,0,0,0,
0.611384,0,0,0,0,0,0,0,
0.612804,0,0,0,0,0,0,0,
0.614184,0,0,0,0,0,0,0,
0.6156,0,0,0,0,0,0,0,
0.616949,0,0,0,0,0,0,0,
0.618347,0,0,0,0,0,0,0,
0.619841,0,0,0,0,0,0,0,
0.621185,0,0,0,0,0,0,0,
0.622518,0,0,0,0,0,0,0,
0.623948,0,0,0,0,0,0,0,
